FIPS,location,census population 2010,estimated population 2019
13283,"Treutlen County, Georgia","6,885","6,901"
13285,"Troup County, Georgia","67,044","69,922"
13287,"Turner County, Georgia","8,930","7,985"
13289,"Twiggs County, Georgia","9,023","8,120"
13291,"Union County, Georgia","21,356","24,511"
13293,"Upson County, Georgia","27,153","26,320"
13295,"Walker County, Georgia","68,756","69,761"
13297,"Walton County, Georgia","83,768","94,593"
13299,"Ware County, Georgia","36,312","35,734"
13301,"Warren County, Georgia","5,834","5,254"
13303,"Washington County, Georgia","21,187","20,374"
13305,"Wayne County, Georgia","30,099","29,927"
13307,"Webster County, Georgia","2,799","2,607"
13309,"Wheeler County, Georgia","7,421","7,855"
13311,"White County, Georgia","27,144","30,798"
13313,"Whitfield County, Georgia","102,599","104,628"
13315,"Wilcox County, Georgia","9,255","8,635"
13317,"Wilkes County, Georgia","10,593","9,777"
13319,"Wilkinson County, Georgia","9,563","8,954"
13321,"Worth County, Georgia","21,679","20,247"
15001,"Hawaii County, Hawaii","185,079","201,513"
15003,"Honolulu County, Hawaii","953,207","974,563"
15005,"Kalawao County, Hawaii",90,86
15007,"Kauai County, Hawaii","67,091","72,293"
15009,"Maui County, Hawaii","154,834","167,417"
16001,"Ada County, Idaho","392,365","481,587"
16003,"Adams County, Idaho","3,976","4,294"
16005,"Bannock County, Idaho","82,839","87,808"
16007,"Bear Lake County, Idaho","5,986","6,125"
16009,"Benewah County, Idaho","9,285","9,298"
16011,"Bingham County, Idaho","45,607","46,811"
16013,"Blaine County, Idaho","21,376","23,021"
16015,"Boise County, Idaho","7,028","7,831"
16017,"Bonner County, Idaho","40,877","45,739"
16019,"Bonneville County, Idaho","104,234","119,062"
16021,"Boundary County, Idaho","10,972","12,245"
16023,"Butte County, Idaho","2,891","2,597"
16025,"Camas County, Idaho","1,117","1,106"
16027,"Canyon County, Idaho","188,923","229,849"
16029,"Caribou County, Idaho","6,963","7,155"
16031,"Cassia County, Idaho","22,952","24,030"
16033,"Clark County, Idaho",982,845
16035,"Clearwater County, Idaho","8,761","8,756"
16037,"Custer County, Idaho","4,368","4,315"
16039,"Elmore County, Idaho","27,038","27,511"
16041,"Franklin County, Idaho","12,786","13,876"
16043,"Fremont County, Idaho","13,242","13,099"
16045,"Gem County, Idaho","16,719","18,112"
16047,"Gooding County, Idaho","15,464","15,179"
16049,"Idaho County, Idaho","16,267","16,667"
16051,"Jefferson County, Idaho","26,140","29,871"
16053,"Jerome County, Idaho","22,374","24,412"
16055,"Kootenai County, Idaho","138,494","165,697"
16057,"Latah County, Idaho","37,244","40,108"
