table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Santa Cruz County, California","10,863","10,582","26,748","16,166",384,"1,760","-1,376",-628,655,"2,540","1,885","-1,280",59,"-1,339"
".Shasta County, California","2,859","-1,229","19,093","20,322","4,297","1,965","2,332",371,-320,"1,977","2,297",707,193,514
".Sierra County, California",-234,-109,217,326,-126,1,-127,8,-12,25,37,20,0,20
".Siskiyou County, California","-1,361","-1,032","4,108","5,140",-317,101,-418,-11,-143,382,525,135,2,133
".Solano County, California","34,300","18,081","47,682","29,601","16,528","6,691","9,837","1,918","1,377","5,088","3,711",557,280,277
".Sonoma County, California","10,475","8,237","45,881","37,644","2,497","3,206",-709,"-4,307",130,"4,509","4,379","-4,437",97,"-4,534"
".Stanislaus County, California","36,210","32,649","70,420","37,771","3,879","4,607",-728,"2,534","3,076","7,393","4,317",-535,144,-679
".Sutter County, California","2,215","4,726","12,032","7,306","-2,546","2,049","-4,595",623,433,"1,267",834,195,100,95
".Tehama County, California","1,644","1,179","7,041","5,862",505,-131,636,"1,066",78,739,661,985,-29,"1,014"
".Trinity County, California","-1,499",-424,"1,047","1,471","-1,073",-10,"-1,063",-282,-43,118,161,-240,-1,-239
".Tulare County, California","24,013","41,985","69,462","27,477","-17,932",-636,"-17,296","1,606","3,823","7,032","3,209","-2,230",-270,"-1,960"
".Tuolumne County, California",-890,"-1,651","4,283","5,934",784,321,463,91,-155,466,621,252,20,232
".Ventura County, California","22,608","41,771","93,266","51,495","-18,720","7,250","-25,970","-2,136","2,920","9,161","6,241","-5,053",140,"-5,193"
".Yolo County, California","19,645","10,083","21,877","11,794","9,596","9,720",-124,382,829,"2,215","1,386",-455,857,"-1,312"
".Yuba County, California","6,526","5,573","11,087","5,514",980,674,306,"1,111",566,"1,149",583,542,0,542
".Adams County, Colorado","75,724","39,015","65,726","26,711","36,267","8,242","28,025","6,067","3,569","6,777","3,208","2,487","1,204","1,283"
".Alamosa County, Colorado",793,777,"1,993","1,216",20,26,-6,-15,83,198,115,-97,-4,-93
".Arapahoe County, Colorado","84,472","37,965","72,624","34,659","46,344","23,224","23,120","4,793","3,456","7,605","4,149","1,342","2,507","-1,165"
".Archuleta County, Colorado","1,945",254,"1,101",847,"1,677",60,"1,617",299,34,127,93,264,9,255
".Baca County, Colorado",-206,-135,371,506,-71,13,-84,-3,-9,37,46,6,3,3
".Bent County, Colorado",-922,-193,360,553,-769,53,-822,-231,-21,36,57,-213,2,-215
".Boulder County, Colorado","31,636","10,172","26,198","16,026","21,441","8,470","12,971","1,560",674,"2,609","1,935",896,938,-42
".Broomfield County, Colorado","14,604","2,991","6,284","3,293","11,471",936,"10,535","1,141",238,651,413,896,105,791
".Chaffee County, Colorado","2,547",-357,"1,241","1,598","2,881",77,"2,804",315,-44,131,175,360,9,351
".Cheyenne County, Colorado",-2,49,224,175,-52,57,-109,-28,4,17,13,-32,6,-38
".Clear Creek County, Colorado",627,125,662,537,497,196,301,96,16,73,57,79,23,56
".Conejos County, Colorado",-51,228,982,754,-279,36,-315,24,13,86,73,13,3,10
".Costilla County, Colorado",363,-67,290,357,429,81,348,75,3,37,34,73,10,63
".Crowley County, Colorado",238,-58,316,374,243,130,113,104,-5,30,35,109,0,109
".Custer County, Colorado",817,-114,236,350,920,-4,924,134,-7,33,40,140,-1,141
".Delta County, Colorado",209,-632,"2,789","3,421",844,35,809,278,-111,283,394,387,2,385
".Denver County, Colorado","127,386","45,805","86,008","40,203","79,472","19,191","60,281","10,946","4,377","9,372","4,995","6,510","2,242","4,268"
".Dolores County, Colorado",-9,-11,148,159,-1,0,-1,-5,1,11,10,-7,0,-7
".Douglas County, Colorado","65,689","21,082","32,249","11,167","44,311","4,993","39,318","8,165","1,979","3,472","1,493","6,166",562,"5,604"
".Eagle County, Colorado","2,926","4,837","5,870","1,033","-1,929","1,022","-2,951",184,430,559,129,-246,118,-364
".Elbert County, Colorado","3,641",536,"1,728","1,192","3,101",200,"2,901",426,48,196,148,379,34,345
".El Paso County, Colorado","98,150","47,280","86,297","39,017","50,760","11,284","39,476","8,314","4,667","9,512","4,845","3,625",526,"3,099"
".Fremont County, Colorado","1,011","-1,565","3,471","5,036","2,558",108,"2,450",-120,-183,381,564,65,-5,70
".Garfield County, Colorado","3,688","4,526","7,471","2,945",-857,288,"-1,145",360,401,781,380,-40,54,-94
".Gilpin County, Colorado",794,136,376,240,642,-2,644,131,12,36,24,117,0,117
".Grand County, Colorado",891,475,"1,064",589,381,90,291,223,43,109,66,180,10,170
".Gunnison County, Colorado","2,138",684,"1,331",647,"1,427",5,"1,422",295,60,130,70,233,7,226
".Hinsdale County, Colorado",-23,2,46,44,-27,0,-27,12,-1,2,3,13,0,13
".Huerfano County, Colorado",186,-495,444,939,677,37,640,10,-48,48,96,58,4,54
".Jackson County, Colorado",-1,9,115,106,-14,3,-17,-3,6,16,10,-11,1,-12
".Jefferson County, Colorado","48,052","14,405","53,446","39,041","33,487","5,036","28,451","3,489","1,223","5,822","4,599","2,255",596,"1,659"
".Kiowa County, Colorado",8,-30,151,181,36,0,36,27,7,18,11,20,0,20
".Kit Carson County, Colorado","-1,173",162,849,687,"-1,378",50,"-1,428",-62,4,78,74,-67,8,-75
".Lake County, Colorado",817,417,771,354,386,-41,427,281,58,86,28,220,0,220
".La Plata County, Colorado","4,886","1,824","4,881","3,057","3,020",-60,"3,080",-78,105,472,367,-180,-11,-169
".Larimer County, Colorado","57,269","11,605","31,320","19,715","45,121","4,487","40,634","6,239","1,042","3,337","2,295","5,175",537,"4,638"
".Las Animas County, Colorado","-1,001",-374,"1,228","1,602",-653,128,-781,-2,-43,117,160,42,18,24
".Lincoln County, Colorado",232,63,543,480,165,31,134,95,17,61,44,77,4,73
".Logan County, Colorado",-300,209,"2,109","1,900",-518,57,-575,141,22,217,195,121,6,115
".Mesa County, Colorado","7,477","3,078","16,342","13,264","4,431",-173,"4,604","1,259",116,"1,631","1,515","1,137",-13,"1,150"
".Mineral County, Colorado",57,-1,54,55,57,0,57,-3,3,8,5,-6,0,-6
".Moffat County, Colorado",-508,771,"1,659",888,"-1,302",86,"-1,388",100,89,170,81,11,19,-8
".Montezuma County, Colorado",642,243,"2,706","2,463",419,-104,523,31,-16,263,279,49,-17,66
".Montrose County, Colorado","1,482",227,"4,147","3,920","1,263",31,"1,232",552,-6,428,434,558,15,543
".Morgan County, Colorado",909,"1,651","4,031","2,380",-753,"1,203","-1,956",299,198,438,240,101,171,-70
".Otero County, Colorado",-555,-166,"2,032","2,198",-385,16,-401,-60,-19,216,235,-42,7,-49
".Ouray County, Colorado",510,-11,265,276,508,12,496,130,-14,20,34,142,1,141
".Park County, Colorado","2,642",207,"1,048",841,"2,400",-19,"2,419",320,17,134,117,300,-7,307
".Phillips County, Colorado",-177,19,484,465,-200,141,-341,-20,-15,42,57,-5,23,-28
".Pitkin County, Colorado",623,802,"1,288",486,-183,765,-948,-209,75,130,55,-287,93,-380
".Prowers County, Colorado",-379,376,"1,513","1,137",-769,122,-891,93,43,158,115,51,17,34
".Pueblo County, Colorado","9,361","1,417","17,214","15,797","8,038",458,"7,580","1,002",-26,"1,808","1,834","1,033",65,968
".Rio Blanco County, Colorado",-349,241,705,464,-602,90,-692,-6,19,62,43,-26,11,-37
".Rio Grande County, Colorado",-715,109,"1,244","1,135",-827,3,-830,-4,2,115,113,-5,12,-17
".Routt County, Colorado","2,132","1,022","2,016",994,"1,087",480,607,131,74,207,133,57,43,14
".Saguache County, Colorado",716,241,648,407,470,74,396,-16,10,69,59,-25,9,-34
".San Juan County, Colorado",29,8,44,36,18,0,18,-36,0,4,4,-37,0,-37
".San Miguel County, Colorado",820,414,620,206,404,268,136,-1,37,61,24,-38,41,-79
".Sedgwick County, Colorado",-134,-123,210,333,-12,3,-15,-28,-19,13,32,-9,-1,-8
".Summit County, Colorado","3,017","2,028","2,591",563,951,"1,029",-78,194,197,266,69,-4,101,-105
".Teller County, Colorado","2,029",215,"1,691","1,476","1,810",-64,"1,874",275,-22,176,198,297,-3,300
".Washington County, Colorado",96,-33,428,461,130,2,128,20,-1,47,48,20,-1,21
".Weld County, Colorado","71,665","22,092","37,587","15,495","49,035","2,484","46,551","9,677","2,504","4,360","1,856","7,141",363,"6,778"
".Yuma County, Colorado",-24,415,"1,336",921,-445,264,-709,72,42,135,93,30,47,-17
".Fairfield County, Connecticut","26,428","31,206","92,947","61,741","-4,739","44,863","-49,602",-639,"2,643","9,603","6,960","-3,343","4,737","-8,080"
".Hartford County, Connecticut","-2,332","13,295","86,975","73,680","-15,775","41,102","-56,877",-860,851,"9,126","8,275","-1,734","3,454","-5,188"
".Litchfield County, Connecticut","-9,547","-3,159","13,334","16,493","-6,375","2,276","-8,651",-762,-456,"1,382","1,838",-299,263,-562
".Middlesex County, Connecticut","-3,236","-1,399","12,559","13,958","-1,745","2,612","-4,357",-434,-304,"1,248","1,552",-122,237,-359
".New Haven County, Connecticut","-7,685","10,560","81,952","71,392","-18,293","32,843","-51,136","-2,214",625,"8,512","7,887","-2,858","2,740","-5,598"
".New London County, Connecticut","-8,864","2,357","24,643","22,286","-11,261","6,111","-17,372","-1,079",-19,"2,502","2,521","-1,059",326,"-1,385"
".Tolland County, Connecticut","-2,026","1,129","10,675","9,546","-3,239","3,681","-6,920",32,86,"1,134","1,048",-54,449,-503
".Windham County, Connecticut","-1,598",850,"10,406","9,556","-2,472","2,904","-5,376",-277,-8,"1,060","1,068",-267,117,-384
".Kent County, Delaware","18,436","6,171","20,448","14,277","12,260","2,127","10,133","2,246",370,"2,127","1,757","1,874",62,"1,812"
".New Castle County, Delaware","20,269","18,215","60,294","42,079","2,523","9,922","-7,399","1,203","1,352","6,268","4,916",-132,69,-201
".Sussex County, Delaware","37,122","-1,258","20,930","22,188","37,982","1,178","36,804","4,836",-493,"2,288","2,781","5,292",-58,"5,350"
".District of Columbia, District of Columbia","103,982","41,806","87,527","45,721","61,065","33,805","27,260","4,202","3,816","9,493","5,677",401,"2,604","-2,203"
".Alachua County, Florida","21,706","9,149","26,402","17,253","12,606","10,518","2,088",192,694,"2,775","2,081",-504,798,"-1,302"
".Baker County, Florida","2,095",885,"3,138","2,253","1,212",60,"1,152",857,49,322,273,807,5,802
".Bay County, Florida","5,855","3,934","20,996","17,062","1,770","3,938","-2,168","-11,535",233,"2,222","1,989","-11,803",277,"-12,080"
".Bradford County, Florida",-318,-25,"2,788","2,813",-383,54,-437,449,-64,285,349,509,2,507
".Brevard County, Florida","58,570","-15,771","47,809","63,580","74,263","9,438","64,825","6,739","-2,210","5,258","7,468","8,938",429,"8,509"
".Broward County, Florida","204,632","64,099","201,689","137,590","141,901","142,381",-480,"6,671","5,797","21,829","16,032",902,"13,055","-12,153"
".Calhoun County, Florida",-522,-221,"1,294","1,515",-299,31,-330,-438,-32,133,165,-409,0,-409
".Charlotte County, Florida","28,943","-13,671","9,494","23,165","42,167","2,281","39,886","4,061","-1,794","1,047","2,841","5,834",160,"5,674"
".Citrus County, Florida","8,427","-13,385","9,689","23,074","21,756",331,"21,425","1,975","-1,640","1,066","2,706","3,601",-18,"3,619"
".Clay County, Florida","28,374","4,489","19,830","15,341","23,933","3,258","20,675","3,344",306,"2,183","1,877","3,045",170,"2,875"
".Collier County, Florida","63,380",109,"29,806","29,697","63,056","20,167","42,889","6,701",-707,"3,160","3,867","7,391","1,906","5,485"
".Columbia County, Florida","4,160",117,"7,437","7,320","4,042",297,"3,745","1,018",-59,804,863,"1,069",4,"1,065"
".DeSoto County, Florida","3,139",567,"3,546","2,979","2,581","1,484","1,097",633,27,389,362,604,154,450
".Dixie County, Florida",404,-603,"1,406","2,009","1,005",-8,"1,013",141,-87,141,228,229,-3,232
".Duval County, Florida","93,502","45,205","118,298","73,093","48,664","28,818","19,846","9,103","4,158","13,013","8,855","4,941","2,008","2,933"
".Escambia County, Florida","20,696","5,654","35,874","30,220","15,108","5,404","9,704","3,212",268,"3,804","3,536","2,930",204,"2,726"
".Flagler County, Florida","19,389","-3,858","7,490","11,348","23,048","1,350","21,698","2,996",-578,807,"1,385","3,558",21,"3,537"
".Franklin County, Florida",576,-246,943,"1,189",808,64,744,449,-17,94,111,460,2,458
".Gadsden County, Florida","-2,084",811,"5,135","4,324","-2,925",495,"-3,420",-267,-2,520,522,-262,41,-303
".Gilchrist County, Florida","1,641",12,"1,743","1,731","1,626",59,"1,567",298,-24,182,206,321,3,318
".Glades County, Florida",930,-417,621,"1,038","1,335",286,"1,049",125,-65,64,129,188,15,173
".Gulf County, Florida","-2,224",-510,"1,116","1,626","-1,752",36,"-1,788","-2,507",-74,112,186,"-2,463",-2,"-2,461"
".Hamilton County, Florida",-371,193,"1,466","1,273",-607,46,-653,166,35,164,129,130,-2,132
".Hardee County, Florida",-800,"1,603","3,529","1,926","-2,431",313,"-2,744",-231,146,339,193,-378,-2,-376
".Hendry County, Florida","2,879","2,722","5,440","2,718",50,"2,939","-2,889",686,220,576,356,467,341,126
".Hernando County, Florida","21,142","-10,079","14,143","24,222","31,073","1,930","29,143","3,338","-1,253","1,597","2,850","4,580",50,"4,530"
".Highlands County, Florida","7,437","-5,745","8,302","14,047","13,232","3,261","9,971","1,288",-773,854,"1,627","2,057",258,"1,799"
".Hillsborough County, Florida","242,766","62,214","156,576","94,362","179,604","74,821","104,783","20,049","5,571","17,267","11,696","14,449","5,266","9,183"
".Holmes County, Florida",-306,-549,"1,829","2,378",251,-12,263,174,-52,198,250,225,-3,228
".Indian River County, Florida","21,895","-6,260","11,703","17,963","27,992","2,343","25,649","2,736",-894,"1,283","2,177","3,612",205,"3,407"
".Jackson County, Florida","-3,350",-850,"4,627","5,477","-2,502",299,"-2,801","-1,698",-134,502,636,"-1,577",29,"-1,606"
".Jefferson County, Florida",-515,-264,"1,186","1,450",-263,31,-294,-75,-24,122,146,-50,6,-56
".Lafayette County, Florida",-446,-35,667,702,-429,311,-740,-269,-14,63,77,-259,-5,-254
".Lake County, Florida","70,071","-6,460","29,353","35,813","75,879","6,639","69,240","10,398","-1,043","3,388","4,431","11,377",215,"11,162"
".Lee County, Florida","151,822","-1,952","60,521","62,473","152,286","26,032","126,254","16,107","-1,190","6,760","7,950","17,226","2,183","15,043"
".Leon County, Florida","18,099","11,327","28,035","16,708","6,640","5,800",840,"1,925","1,039","2,984","1,945",899,420,479
".Levy County, Florida",705,"-1,272","3,692","4,964","1,979",170,"1,809",705,-142,409,551,844,-1,845
".Liberty County, Florida",-11,112,722,610,-132,-22,-110,-73,-6,71,77,-67,-5,-62
".Madison County, Florida",-733,-240,"1,841","2,081",-492,172,-664,-47,-62,177,239,16,15,1
".Manatee County, Florida","80,374","-3,358","31,763","35,121","82,837","9,794","73,043","8,866",-852,"3,482","4,334","9,664",710,"8,954"
".Marion County, Florida","34,280","-12,786","31,649","44,435","46,967","4,122","42,845","6,517","-1,667","3,495","5,162","8,151",15,"8,136"
".Martin County, Florida","14,148","-5,951","11,352","17,303","20,002","1,525","18,477",258,-768,"1,258","2,026","1,033",71,962
".Miami-Dade County, Florida","218,947","110,939","291,240","180,301","107,292","390,173","-282,881","2,086","9,100","30,789","21,689","-7,158","38,016","-45,174"
".Monroe County, Florida","1,138",190,"6,687","6,497",931,"3,279","-2,348",-529,-51,685,736,-477,273,-750
".Nassau County, Florida","15,315",-41,"7,317","7,358","15,278",252,"15,026","2,689",-121,858,979,"2,798",-15,"2,813"
".Okaloosa County, Florida","29,914","9,289","25,082","15,793","20,416","3,750","16,666","3,804",752,"2,692","1,940","3,037",76,"2,961"
".Okeechobee County, Florida","2,172",927,"4,912","3,985","1,256",666,590,514,95,542,447,419,61,358
".Orange County, Florida","247,495","79,311","149,987","70,676","167,682","115,635","52,047","11,912","8,032","16,922","8,890","3,925","7,258","-3,333"
".Osceola County, Florida","107,066","18,996","38,096","19,100","87,696","44,339","43,357","7,295","2,033","4,498","2,465","5,249","1,208","4,041"
".Palm Beach County, Florida","176,635","3,057","133,968","130,911","173,510","82,729","90,781","13,894",-513,"14,947","15,460","14,460","7,748","6,712"
".Pasco County, Florida","89,242","-8,766","45,694","54,460","97,410","7,844","89,566","14,857","-1,280","5,186","6,466","16,082",519,"15,563"
".Pinellas County, Florida","58,196","-31,117","77,670","108,787","89,128","20,219","68,909","1,938","-4,729","8,104","12,833","6,687","1,336","5,351"
".Polk County, Florida","122,704","9,786","69,821","60,035","112,597","23,260","89,337","18,180",806,"8,043","7,237","17,311",673,"16,638"
".Putnam County, Florida",144,"-1,310","7,753","9,063","1,492",89,"1,403",478,-207,826,"1,033",681,-24,705
".St. Johns County, Florida","74,634","2,328","18,943","16,615","71,485","1,701","69,784","10,858",111,"2,216","2,105","10,711",83,"10,628"
".St. Lucie County, Florida","51,042",-315,"27,982","28,297","51,119","7,468","43,651","7,872",-419,"3,082","3,501","8,259",603,"7,656"
".Santa Rosa County, Florida","32,942","4,561","17,384","12,823","28,113",636,"27,477","5,018",279,"1,971","1,692","4,719",-68,"4,787"
".Sarasota County, Florida","54,309","-23,562","26,615","50,177","77,360","7,892","69,468","7,413","-3,292","2,835","6,127","10,669",724,"9,945"
".Seminole County, Florida","49,116","12,028","42,240","30,212","37,331","15,383","21,948","3,704","1,042","4,714","3,672","2,676",836,"1,840"
".Sumter County, Florida","39,000","-10,573","4,311","14,884","48,895",-134,"49,029","3,701","-1,539",478,"2,017","5,212",-57,"5,269"
".Suwannee County, Florida","2,862",-812,"4,269","5,081","3,596",120,"3,476",238,-117,444,561,356,-5,361
".Taylor County, Florida","-1,005",-86,"2,169","2,255",-932,115,"-1,047",24,-42,216,258,66,4,62
".Union County, Florida",-298,-518,"1,485","2,003",220,79,141,-91,-75,149,224,-16,0,-16
".Volusia County, Florida","58,688","-17,980","44,574","62,554","76,304","9,914","66,390","7,183","-2,245","4,933","7,178","9,395",420,"8,975"
".Wakulla County, Florida","2,956",601,"3,025","2,424","2,336",81,"2,255","1,326",53,329,276,"1,261",-2,"1,263"
".Walton County, Florida","19,025","1,119","6,746","5,627","17,646",224,"17,422","3,339",62,780,718,"3,257",5,"3,252"
".Washington County, Florida",577,-491,"2,231","2,722","1,034",69,965,680,-48,257,305,724,9,715
".Appling County, Georgia",148,471,"2,305","1,834",-329,-11,-318,-140,12,225,213,-152,2,-154
".Atkinson County, Georgia",-215,495,"1,158",663,-718,19,-737,-97,61,122,61,-157,-1,-156
".Bacon County, Georgia",67,222,"1,414","1,192",-151,-14,-137,32,50,158,108,-19,-5,-14
".Baker County, Georgia",-409,43,295,252,-455,2,-457,-48,8,30,22,-56,-1,-55
".Baldwin County, Georgia",-950,184,"4,170","3,986","-1,204",273,"-1,477",-3,-69,411,480,69,27,42
".Banks County, Georgia",855,380,"1,830","1,450",482,94,388,262,61,219,158,202,11,191
".Barrow County, Georgia","13,884","4,391","9,673","5,282","9,399",442,"8,957","2,406",403,"1,062",659,"1,993",44,"1,949"
".Bartow County, Georgia","7,646","3,937","12,017","8,080","3,744",172,"3,572","1,360",286,"1,268",982,"1,070",20,"1,050"
".Ben Hill County, Georgia",-960,90,"2,099","2,009","-1,043",18,"-1,061",-122,-28,197,225,-94,6,-100
".Berrien County, Georgia",104,233,"2,135","1,902",-138,188,-326,131,-1,236,237,132,12,120
".Bibb County, Georgia","-2,624","4,873","20,009","15,136","-7,490","1,590","-9,080",256,329,"2,074","1,745",-63,130,-193
".Bleckley County, Georgia",-191,-73,"1,223","1,296",-126,82,-208,52,19,129,110,33,5,28
".Brantley County, Georgia",681,245,"1,989","1,744",434,-59,493,124,5,221,216,119,1,118
".Brooks County, Georgia",-857,-24,"1,784","1,808",-851,122,-973,-22,-50,149,199,29,12,17
".Bryan County, Georgia","9,412","2,421","4,676","2,255","6,959",309,"6,650","1,568",283,541,258,"1,286",-3,"1,289"
".Bulloch County, Georgia","9,365","3,270","8,052","4,782","5,980","1,037","4,943","2,366",329,890,561,"2,019",84,"1,935"
".Burke County, Georgia",-943,651,"2,924","2,273","-1,615",-3,"-1,612",-56,43,290,247,-98,-2,-96
".Butts County, Georgia","1,241",129,"2,490","2,361","1,095",-5,"1,100",744,13,291,278,724,-3,727
".Calhoun County, Georgia",-508,-51,506,557,-462,31,-493,-164,4,53,49,-169,2,-171
".Camden County, Georgia","4,154","4,249","7,342","3,093",-117,559,-676,"1,015",396,768,372,616,-29,645
".Candler County, Georgia",-196,93,"1,296","1,203",-291,47,-338,-24,5,130,125,-28,2,-30
".Carroll County, Georgia","9,422","4,403","13,799","9,396","5,036",923,"4,113","1,995",442,"1,535","1,093","1,549",55,"1,494"
