table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Maricopa County, Arizona","668,049","231,005","498,625","267,620","435,347","97,949","337,398","83,011","19,699","52,722","33,023","62,997","5,520","57,477"
".Mohave County, Arizona","11,999","-9,685","16,886","26,571","21,585","-1,496","23,081","2,889","-1,623","1,752","3,375","4,478",-246,"4,724"
".Navajo County, Arizona","3,436","5,361","14,474","9,113","-1,895",514,"-2,409",682,330,"1,447","1,117",355,44,311
".Pima County, Arizona","67,016","21,542","107,047","85,505","46,336","22,079","24,257","10,725",692,"10,891","10,199","10,005","1,204","8,801"
".Pinal County, Arizona","87,025","16,204","42,299","26,095","70,153","8,836","61,317","15,983","1,238","4,568","3,330","14,667",487,"14,180"
".Santa Cruz County, Arizona",-922,"3,314","5,987","2,673","-4,313",795,"-5,108",103,303,619,316,-201,56,-257
".Yavapai County, Arizona","24,082","-9,511","17,021","26,532","33,299",303,"32,996","3,327","-1,260","1,782","3,042","4,564",-72,"4,636"
".Yuma County, Arizona","18,037","14,964","28,472","13,508","2,839","7,552","-4,713","2,175","1,278","2,991","1,713",903,546,357
".Arkansas County, Arkansas","-1,521",30,"2,203","2,173","-1,558",50,"-1,608",-240,-10,206,216,-232,-3,-229
".Ashley County, Arkansas","-2,188",-53,"2,295","2,348","-2,147",-33,"-2,114",-355,-38,213,251,-317,-4,-313
".Baxter County, Arkansas",421,"-2,988","3,244","6,232","3,427",20,"3,407",308,-346,349,695,655,-1,656
".Benton County, Arkansas","57,793","16,626","32,527","15,901","40,819","5,544","35,275","6,875","1,924","3,744","1,820","4,930",107,"4,823"
".Boone County, Arkansas",512,47,"4,127","4,080",494,-82,576,47,-53,407,460,103,-11,114
".Bradley County, Arkansas",-742,-176,"1,219","1,395",-572,-11,-561,-75,-14,116,130,-61,-5,-56
".Calhoun County, Arkansas",-179,-142,421,563,-36,-2,-34,-38,-9,39,48,-29,-1,-28
".Carroll County, Arkansas",931,62,"2,900","2,838",883,307,576,283,-4,301,305,290,25,265
".Chicot County, Arkansas","-1,682",-164,"1,241","1,405","-1,528",67,"-1,595",-324,-39,111,150,-285,-2,-283
".Clark County, Arkansas",-671,-109,"2,210","2,319",-564,100,-664,7,-8,233,241,16,2,14
".Clay County, Arkansas","-1,532",-651,"1,555","2,206",-878,-10,-868,-212,-42,155,197,-170,0,-170
".Cleburne County, Arkansas","-1,045","-1,222","2,216","3,438",202,-45,247,-75,-158,227,385,84,-6,90
".Cleveland County, Arkansas",-736,-156,767,923,-584,-1,-583,-39,-13,75,88,-26,-1,-25
".Columbia County, Arkansas","-1,095",-173,"2,647","2,820",-949,259,"-1,208",-129,-17,262,279,-111,9,-120
".Conway County, Arkansas",-421,-73,"2,299","2,372",-327,-1,-326,21,14,227,213,9,-5,14
".Craighead County, Arkansas","13,889","5,026","13,477","8,451","8,845","1,172","7,673","1,516",426,"1,456","1,030","1,091",47,"1,044"
".Crawford County, Arkansas","1,322","1,291","7,082","5,791",66,314,-248,-122,100,758,658,-222,5,-227
