State Name,County Name,Census 2010,Population Estimate 2019
Colorado,Otero County,"18,831","18,278"
Colorado,Ouray County,"4,436","4,952"
Colorado,Park County,"16,206","18,845"
Colorado,Phillips County,"4,442","4,265"
Colorado,Pitkin County,"17,148","17,767"
Colorado,Prowers County,"12,551","12,172"
Colorado,Pueblo County,"159,063","168,424"
Colorado,Rio Blanco County,"6,666","6,324"
Colorado,Rio Grande County,"11,982","11,267"
Colorado,Routt County,"23,509","25,638"
Colorado,Saguache County,"6,108","6,824"
Colorado,San Juan County,699,728
Colorado,San Miguel County,"7,359","8,179"
Colorado,Sedgwick County,"2,379","2,248"
Colorado,Summit County,"27,994","31,011"
Colorado,Teller County,"23,350","25,388"
Colorado,Washington County,"4,814","4,908"
Colorado,Weld County,"252,825","324,492"
Colorado,Yuma County,"10,043","10,019"
Connecticut,Fairfield County,"916,829","943,332"
Connecticut,Hartford County,"894,014","891,720"
Connecticut,Litchfield County,"189,927","180,333"
Connecticut,Middlesex County,"165,676","162,436"
Connecticut,New Haven County,"862,477","854,757"
Connecticut,New London County,"274,055","265,206"
Connecticut,Tolland County,"152,691","150,721"
Connecticut,Windham County,"118,428","116,782"
Delaware,Kent County,"162,310","180,786"
Delaware,New Castle County,"538,479","558,753"
Delaware,Sussex County,"197,145","234,225"
District of Columbia,District of Columbia County,"601,723","705,749"
Florida,Alachua County,"247,336","269,043"
Florida,Baker County,"27,115","29,210"
Florida,Bay County,"168,852","174,705"
Florida,Bradford County,"28,520","28,201"
Florida,Brevard County,"543,376","601,942"
Florida,Broward County,"1,748,066","1,952,778"
Florida,Calhoun County,"14,625","14,105"
Florida,Charlotte County,"159,978","188,910"
Florida,Citrus County,"141,236","149,657"
Florida,Clay County,"190,865","219,252"
Florida,Collier County,"321,520","384,902"
Florida,Columbia County,"67,531","71,686"
Florida,DeSoto County,"34,862","38,001"
Florida,Dixie County,"16,422","16,826"
Florida,Duval County,"864,263","957,755"
Florida,Escambia County,"297,619","318,316"
Florida,Flagler County,"95,696","115,081"
Florida,Franklin County,"11,549","12,125"
Florida,Gadsden County,"46,389","45,660"
Florida,Gilchrist County,"16,939","18,582"
Florida,Glades County,"12,884","13,811"
Florida,Gulf County,"15,863","13,639"
Florida,Hamilton County,"14,799","14,428"
Florida,Hardee County,"27,731","26,937"
Florida,Hendry County,"39,140","42,022"
Florida,Hernando County,"172,778","193,920"
Florida,Highlands County,"98,786","106,221"
Florida,Hillsborough County,"1,229,226","1,471,968"
Florida,Holmes County,"19,927","19,617"
Florida,Indian River County,"138,028","159,923"
Florida,Jackson County,"49,746","46,414"
Florida,Jefferson County,"14,761","14,246"
Florida,Lafayette County,"8,870","8,422"
Florida,Lake County,"297,052","367,118"
Florida,Lee County,"618,754","770,577"
Florida,Leon County,"275,487","293,582"
Florida,Levy County,"40,801","41,503"
Florida,Liberty County,"8,365","8,354"
Florida,Madison County,"19,224","18,493"
Florida,Manatee County,"322,833","403,253"
Florida,Marion County,"331,298","365,579"
Florida,Martin County,"146,318","161,000"
Florida,Miami-Dade County,"2,496,435","2,716,940"
Florida,Monroe County,"73,090","74,228"
Florida,Nassau County,"73,314","88,625"
Florida,Okaloosa County,"180,822","210,738"
Florida,Okeechobee County,"39,996","42,168"
Florida,Orange County,"1,145,956","1,393,452"
Florida,Osceola County,"268,685","375,751"
Florida,Palm Beach County,"1,320,134","1,496,770"
Florida,Pasco County,"464,697","553,947"
Florida,Pinellas County,"916,542","974,996"
Florida,Polk County,"602,095","724,777"
Florida,Putnam County,"74,364","74,521"
Florida,Santa Rosa County,"151,372","184,313"
Florida,Sarasota County,"379,448","433,742"
Florida,Seminole County,"422,718","471,826"
Florida,St. Johns County,"190,039","264,672"
Florida,St. Lucie County,"277,789","328,297"
Florida,Sumter County,"93,420","132,420"
Florida,Suwannee County,"41,551","44,417"
Florida,Taylor County,"22,570","21,569"
Florida,Union County,"15,535","15,237"
Florida,Volusia County,"494,593","553,284"
Florida,Wakulla County,"30,776","33,739"
Florida,Walton County,"55,043","74,071"
Florida,Washington County,"24,896","25,473"
Georgia,Appling County,"18,236","18,386"
Georgia,Atkinson County,"8,375","8,165"
Georgia,Bacon County,"11,096","11,164"
Georgia,Baker County,"3,451","3,038"
Georgia,Baldwin County,"45,720","44,890"
Georgia,Banks County,"18,395","19,234"
Georgia,Barrow County,"69,367","83,240"
Georgia,Bartow County,"100,157","107,738"
Georgia,Ben Hill County,"17,634","16,700"
Georgia,Berrien County,"19,286","19,397"
Georgia,Bibb County,"155,547","153,159"
Georgia,Bleckley County,"13,063","12,873"
Georgia,Brantley County,"18,411","19,109"
Georgia,Brooks County,"16,243","15,457"
Georgia,Bryan County,"30,233","39,627"
Georgia,Bulloch County,"70,217","79,608"
Georgia,Burke County,"23,316","22,383"
Georgia,Butts County,"23,655","24,936"
Georgia,Calhoun County,"6,694","6,189"
Georgia,Camden County,"50,513","54,666"
Georgia,Candler County,"10,998","10,803"
Georgia,Carroll County,"110,527","119,992"
Georgia,Catoosa County,"63,942","67,580"
Georgia,Charlton County,"12,171","13,392"
Georgia,Chatham County,"265,128","289,430"
Georgia,Chattahoochee County,"11,267","10,907"
Georgia,Chattooga County,"26,015","24,789"
Georgia,Cherokee County,"214,346","258,773"
Georgia,Clarke County,"116,714","128,331"
Georgia,Clay County,"3,183","2,834"
Georgia,Clayton County,"259,424","292,256"
